No,ID Stasiun,Waktu,PM 10,PM 2.5,SO2,CO,O3,NO2,VOC,Wind Speed,Wind Direction,Humidity,Temperature,Pressure,Solar Radiation,Rain Intensity
263,CILEGON_PCI,2022-09-05 22:00:00,72,88,19,0,111,0,0,0,181,60,27.9,1012.53,0,0
264,CILEGON_PCI,2022-09-06 10:30:00,20,23,36,0,68,24,0,0,133,71,25.6,1012.9,67,0
265,CILEGON_PCI,2022-09-05 23:30:00,38,44,2,0,65,0,0,0,108,63,26.7,1012.56,0,0
266,CILEGON_PCI,2022-09-06 11:00:00,15,17,28,0,78,27,0,0,157,72,25.7,1012.46,272,0
267,CILEGON_PCI,2022-09-05 21:30:00,74,80,18,0,103,0,0,0,181,60,28.3,1012.5,0,0
268,CILEGON_PCI,2022-09-05 23:00:00,51,56,11,0,102,0,0,0,181,62,27.7,1012.26,0,0
269,CILEGON_PCI,2022-09-06 09:00:00,21,24,27,0,83,29,0,0,177,73,25.5,1013.14,534,0
270,CILEGON_PCI,2022-09-06 10:30:00,20,23,36,0,68,24,0,0,133,71,25.6,1012.9,67,0
271,CILEGON_PCI,2022-09-05 21:00:00,86,95,16,0,99,1,0,0,181,58,28.5,1012.23,0,0
272,CILEGON_PCI,2022-09-05 22:30:00,57,64,17,0,112,0,0,0,181,61,27.8,1012.67,0,0
273,CILEGON_PCI,2022-09-06 09:00:00,21,24,27,0,83,29,0,0,177,73,25.5,1013.14,534,0
274,CILEGON_PCI,2022-09-06 08:00:00,28,33,22,0,96,19,0,0,191,75,25.4,1012.77,290,0
275,CILEGON_PCI,2022-09-05 20:30:00,58,67,7,0,112,5,0,0,181,57,28.9,1012.29,0,0
276,CILEGON_PCI,2022-09-05 22:00:00,72,88,19,0,111,0,0,0,181,60,27.9,1012.53,0,0
277,CILEGON_PCI,2022-09-06 08:00:00,28,33,22,0,96,19,0,0,191,75,25.4,1012.77,290,0
278,CILEGON_PCI,2022-09-06 07:30:00,30,35,22,0,88,11,0,0,122,75,25.1,1012.63,21,0
279,CILEGON_PCI,2022-09-05 20:00:00,28,34,6,0,114,4,0,0,179,58,29,1012.09,0,0
280,CILEGON_PCI,2022-09-05 21:30:00,74,80,18,0,103,0,0,0,181,60,28.3,1012.5,0,0
281,CILEGON_PCI,2022-09-06 07:30:00,30,35,22,0,88,11,0,0,122,75,25.1,1012.63,21,0
282,CILEGON_PCI,2022-09-06 06:30:00,22,26,4,0,66,0,0,0,186,75,24.2,1011.65,30,0
283,CILEGON_PCI,2022-09-05 19:30:00,44,51,5,0,118,2,0,0,167,58,29.1,1011.58,0,0
284,CILEGON_PCI,2022-09-05 21:00:00,86,95,16,0,99,1,0,0,181,58,28.5,1012.23,0,0
285,CILEGON_PCI,2022-09-06 06:30:00,22,26,4,0,66,0,0,0,186,75,24.2,1011.65,30,0
286,CILEGON_PCI,2022-09-06 06:00:00,26,30,4,0,91,0,0,0,187,75,24.2,1011.68,0,0
287,CILEGON_PCI,2022-09-05 19:00:00,33,38,4,0,119,0,0,0,91,56,29.5,1010.97,0,0
288,CILEGON_PCI,2022-09-05 20:30:00,58,67,7,0,112,5,0,0,181,57,28.9,1012.29,0,0
